expname,acc_avg,acc_diff,acc_std,auc_avg,auc_diff,auc_std,sig
Baseline,0.808993,-,-,0.5,-,-,-
XKLR3,0.843467,0.034474000000000005,0.00643,0.870933,0.37093299999999996,0.00969,True
DAS3H,0.833367,0.024374000000000007,0.005019,0.837875,0.33787500000000004,0.005696,True
PFA,0.815861,0.006867999999999985,0.008811,0.731934,0.23193399999999997,0.008679,True
XKLR,0.841586,0.03259299999999998,0.005816,0.871413,0.371413,0.008915,True
TW combined counts,0.843036,0.034043000000000045,0.005721,0.870553,0.370553,0.009459,True
RPFA,0.816735,0.007742000000000027,0.009638,0.725494,0.22549399999999997,0.009456,True
PPE,0.814919,0.005925999999999987,0.010589,0.641133,0.14113299999999995,0.005945,True
Best-LR,0.837111,0.028118000000000087,0.005739,0.838766,0.338766,0.007174,True
XKLR4,0.844193,0.03520000000000001,0.004705,0.871248,0.371248,0.00946,True
TW item counts,0.843099,0.03410600000000008,0.005801,0.870303,0.37030300000000005,0.008857,True
XKLR2,0.843131,0.034138,0.006085,0.871083,0.37108300000000005,0.009408,True
LRP+PPE+RPFA,0.840538,0.031545000000000045,0.004304,0.867118,0.36711800000000006,0.008245,True
TW item counts+s,0.844543,0.03555000000000008,0.005148,0.871583,0.371583,0.009154,True
XKLR5,0.844547,0.035554000000000086,0.005233,0.871554,0.37155400000000005,0.009127,True
item ID,0.826114,0.017121000000000053,0.009068,0.798049,0.298049,0.013316,True
